"","id","famrel_1997","sex","bmonth","byear","praised","prelpref","psraised","psrelpref","agemon_1997","ageyear_1997","samplesype","race","famrel_1998","agemon_1998","ageyear_1998","famrel_1999","agemon_1999","ageyear_1999","famrel_2000","attend_2000","agemon_2000","ageyear_2000","attend_2001","agemon_2001","ageyear_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","ageyear_2002","agemon_2003","ageyear_2003","attend_2003","agemon_2004","ageyear_2004","attend_2004","agemon_2005","ageyear_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","ageyear_2006","attend_2006","agemon_2007","ageyear_2007","attend_2007","agemon_2008","ageyear_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","ageyear_2009","attend_2009","agemon_2010","ageyear_2010","attend_2010","attcat_2000","attcat_2001","attcat_2002","attcat_2003","attcat_2004","attcat_2005","attcat_2006","attcat_2007","attcat_2008","attcat_2009","attcat_2010","transcat_2001","transcat_2002","transcat_2003","transcat_2004","transcat_2005","transcat_2006","transcat_2007","transcat_2008","transcat_2009","transcat_2010"
"3991",4001,-4,1,8,1981,2,2,11,2,200,16,1,4,-4,210,17,-4,220,18,-4,5,232,19,3,244,20,3,1,1,1,1,0,255,21,268,22,2,280,23,2,291,24,2,6,1,1,1,1,0,303,25,5,315,26,2,326,27,2,4,1,0,1,1,1,338,28,2,351,29,2,"2","2","2","1","1","3","2","1","2","1","1","22","22","21","11","13","32","21","12","21","11"
"3992",4002,0,1,5,1982,1,12,2,12,178,14,1,4,0,198,16,0,211,17,0,3,223,18,2,235,19,1,0,0,0,0,0,246,20,258,21,2,270,22,2,282,23,12,1,0,0,0,NA,0,294,24,1,305,25,1,317,26,27,1,0,0,0,NA,0,328,27,1,344,28,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"3993",4003,-4,1,4,1980,12,12,12,12,203,16,1,4,-4,223,18,-4,236,19,-4,7,248,20,6,261,21,7,0,1,1,1,1,271,22,283,23,6,296,24,6,308,25,7,5,1,1,1,1,1,319,26,4,330,27,6,343,28,12,5,0,0,0,1,0,354,29,3,368,30,3,"3","3","3","3","3","2","2","3","2","2","2","33","33","33","33","32","22","23","32","22","22"
"3996",4006,0,1,1,1984,3,1,1,1,157,13,1,2,0,178,14,0,190,15,1,5,202,16,3,217,18,3,0,1,1,1,0,226,18,238,19,2,250,20,3,262,21,1,3,1,1,0,1,0,274,22,3,286,23,2,300,24,1,2,0,1,0,1,0,310,25,3,323,26,2,"2","2","2","1","2","2","2","1","1","2","1","22","22","21","12","22","22","21","11","12","21"
"3998",4008,1,1,9,1983,1,1,1,1,164,13,1,4,2,183,15,1,195,16,1,6,207,17,5,221,18,6,1,0,1,1,0,231,19,243,20,6,254,21,6,267,22,8,4,0,0,0,1,0,281,23,3,291,24,4,303,25,8,5,1,0,0,1,0,314,26,3,326,27,3,"3","2","3","3","3","2","2","2","2","2","2","32","23","33","33","32","22","22","22","22","22"
"3999",4009,-4,1,9,1981,-4,-4,-4,-4,189,15,1,4,-4,207,17,-4,219,18,-4,7,230,19,7,244,20,7,1,1,1,1,1,254,21,268,22,8,280,23,7,290,24,12,7,1,1,1,1,1,301,25,7,314,26,7,326,27,2,7,1,1,1,1,1,337,28,7,352,29,7,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"4000",4010,-4,2,2,1980,2,2,-4,-4,207,17,1,4,-5,-5,-5,-5,-5,-5,-4,3,252,20,6,264,22,7,0,1,1,1,1,273,22,285,23,6,297,24,4,309,25,2,6,1,1,1,1,1,320,26,6,332,27,6,344,28,2,7,1,1,1,1,1,356,29,7,371,30,7,"2","3","3","3","2","3","3","3","3","3","3","23","33","33","32","23","33","33","33","33","33"
"4002",4012,2,2,5,1982,5,8,3,8,180,14,1,4,1,200,16,1,211,17,1,3,222,18,3,236,19,4,1,1,1,0,1,248,20,259,21,2,270,22,3,282,23,3,2,1,1,1,1,1,293,24,2,305,25,4,318,26,12,4,1,1,1,1,1,329,27,3,342,28,3,"2","2","2","1","2","1","1","2","2","2","2","22","22","21","12","21","11","12","22","22","22"
"4003",4013,1,1,6,1984,5,8,3,8,154,12,1,4,0,175,14,1,186,15,1,3,198,16,5,211,17,4,1,0,1,1,1,222,18,233,19,5,245,20,3,257,21,12,3,1,0,1,1,0,270,22,3,281,23,3,294,24,8,3,0,0,1,1,0,304,25,1,318,26,3,"2","2","2","2","2","2","2","2","2","1","2","22","22","22","22","22","22","22","22","21","12"
"4004",4014,-4,1,7,1980,3,8,3,8,200,16,1,4,-4,224,18,-4,233,19,-4,2,246,20,2,259,21,2,0,0,0,1,0,268,22,281,23,1,293,24,1,305,25,12,2,0,0,0,1,0,316,26,2,328,27,1,339,28,12,1,0,0,0,1,0,351,29,1,363,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4005",4015,1,2,6,1984,3,11,3,11,153,12,1,4,0,176,14,2,186,15,1,2,199,16,5,210,17,3,1,1,1,1,1,221,18,234,19,4,245,20,3,258,21,11,4,0,1,1,1,0,269,22,4,283,23,3,292,24,11,4,1,1,1,1,1,305,25,6,317,26,6,"1","2","2","2","2","2","2","2","2","3","3","12","22","22","22","22","22","22","22","23","33"
"4006",4016,-4,1,8,1981,4,4,-4,-4,187,15,1,4,-4,208,17,-4,220,18,-4,5,231,19,2,244,20,2,0,0,0,0,0,255,21,268,22,2,281,23,1,292,24,2,1,1,0,0,1,0,303,25,1,317,26,1,327,27,27,2,0,0,0,1,0,339,28,2,352,29,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"4007",4017,2,2,10,1984,4,4,-4,-4,149,12,1,4,2,170,14,2,182,15,0,3,193,16,5,207,17,3,0,0,1,1,0,217,18,230,19,3,241,20,2,253,21,2,2,1,0,0,1,0,265,22,3,277,23,2,288,24,2,3,0,0,0,1,0,301,25,1,313,26,2,"2","2","2","2","1","1","2","1","2","1","1","22","22","22","21","11","12","21","12","21","11"
"4010",4020,-4,2,1,1980,12,12,12,12,219,18,1,4,-4,227,18,-4,241,20,-4,1,250,20,1,264,21,1,0,0,0,1,0,274,22,287,23,1,298,24,1,311,25,10,4,1,0,1,1,1,322,26,1,334,27,1,345,28,12,2,1,0,0,1,0,357,29,2,370,30,1,"1","1","1","1","1","2","1","1","1","1","1","11","11","11","11","12","21","11","11","11","11"
"4011",4021,-4,1,1,1981,-4,-4,-4,-4,197,16,1,4,-4,215,17,-4,229,19,-4,3,240,19,1,252,20,1,1,0,0,1,0,263,21,275,22,2,287,23,1,299,24,27,1,0,0,0,1,0,310,25,1,322,26,1,334,27,12,1,0,0,0,1,0,346,28,1,359,29,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"4014",4024,1,2,11,1982,2,2,12,2,172,14,1,1,2,192,15,2,205,17,2,6,217,18,5,232,19,3,1,0,1,1,1,241,20,253,21,2,264,22,2,276,22,2,2,1,0,1,1,0,289,24,3,300,24,5,311,25,2,3,0,0,1,1,0,323,26,2,337,28,3,"3","2","2","1","1","1","2","2","2","1","2","32","22","21","11","11","12","22","22","21","12"
"4015",4025,1,1,1,1982,18,2,4,27,182,15,1,4,0,202,16,0,215,17,0,1,226,18,2,239,19,2,1,0,1,1,0,251,20,262,21,3,274,22,2,287,23,-2,1,0,0,1,1,0,299,24,1,310,25,1,322,26,27,1,0,0,0,1,0,333,27,1,347,28,1,"1","1","1","2","1","1","1","1","1","1","1","11","11","12","21","11","11","11","11","11","11"
"4016",4026,-4,2,4,1981,3,3,-4,-4,195,16,1,4,-4,212,17,-4,225,18,-4,2,236,19,2,249,20,1,0,0,1,1,0,260,21,274,22,1,284,23,1,297,24,25,1,0,0,0,NA,0,310,25,1,318,26,1,331,27,25,1,0,0,0,NA,0,341,28,1,355,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4017",4027,2,2,4,1982,2,2,4,2,181,15,1,4,7,199,16,1,213,17,3,6,224,18,5,238,19,4,0,0,1,1,1,247,20,260,21,3,272,22,2,283,23,2,4,0,0,1,1,1,294,24,4,307,25,1,318,26,2,1,0,0,1,1,0,329,27,3,342,28,1,"3","2","2","2","1","2","2","1","1","2","1","32","22","22","21","12","22","21","11","12","21"
"4018",4028,-4,2,10,1981,2,3,10,3,184,15,1,4,-4,206,17,-4,218,18,-4,1,230,19,1,242,20,1,1,0,1,1,0,255,21,266,22,1,279,23,1,290,24,4,1,0,0,1,1,1,301,25,1,314,26,1,325,27,4,2,0,1,1,1,1,336,27,1,350,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4019",4029,0,1,12,1984,2,3,10,3,146,12,1,4,0,167,13,1,180,15,0,2,192,15,1,204,17,1,1,0,1,1,0,217,18,228,19,5,239,19,2,252,21,13,5,0,0,1,1,0,263,21,2,276,23,2,288,23,8,2,0,0,1,1,0,298,24,5,314,26,1,"1","1","1","2","1","2","1","1","1","2","1","11","11","12","21","12","21","11","11","12","21"
"4020",4030,-4,1,12,1981,13,13,2,13,184,15,1,4,-4,204,16,-4,216,18,-4,7,228,19,3,242,20,3,0,1,0,1,1,252,21,264,21,5,275,22,3,288,23,13,3,1,0,0,0,0,299,24,7,311,25,7,322,26,12,7,1,1,1,1,1,334,27,7,346,28,8,"3","2","2","2","2","2","3","3","3","3","3","32","22","22","22","22","23","33","33","33","33"
"4021",4031,-4,1,6,1981,2,13,-4,-4,191,15,1,4,-4,211,17,-4,222,18,-4,1,234,19,1,248,20,1,1,1,1,1,0,258,21,270,22,2,282,23,3,293,24,12,2,1,0,1,1,1,305,25,3,317,26,1,329,27,12,1,1,0,1,1,0,340,28,1,352,29,1,"1","1","1","1","2","1","2","1","1","1","1","11","11","11","12","21","12","21","11","11","11"
"4022",4032,-4,2,4,1980,-4,-4,-4,-4,206,17,1,4,-4,225,18,-4,236,19,-4,2,249,20,1,260,21,1,1,0,1,0,1,272,22,283,23,1,295,24,1,308,25,8,1,0,0,0,1,0,321,26,1,331,27,1,342,28,8,1,1,0,0,1,0,354,29,1,367,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4024",4034,-4,2,7,1981,1,27,-4,-4,189,15,1,4,-4,209,17,-4,222,18,-4,1,233,19,1,246,20,1,0,0,1,1,0,257,21,269,22,1,281,23,1,292,24,3,6,1,1,1,1,1,304,25,3,317,26,2,327,27,3,2,0,0,1,1,0,339,28,6,352,29,7,"1","1","1","1","1","3","2","1","1","3","3","11","11","11","11","13","32","21","11","13","33"
"4027",4037,-4,1,8,1981,2,2,10,2,187,15,1,4,-4,209,17,-4,220,18,-4,5,232,19,4,246,20,3,1,1,1,1,0,256,21,268,22,2,280,23,2,292,24,2,1,0,0,1,1,0,304,25,2,315,26,1,327,27,2,2,0,0,1,1,0,338,28,2,351,29,2,"2","2","2","1","1","1","1","1","1","1","1","22","22","21","11","11","11","11","11","11","11"
"4028",4038,1,1,7,1982,13,13,11,27,179,14,1,4,0,197,16,0,210,17,0,1,221,18,2,234,19,1,1,0,1,1,0,245,20,257,21,2,269,22,2,281,23,8,3,1,0,1,1,0,293,24,2,304,25,2,316,26,7,2,1,0,1,1,0,327,27,2,343,28,4,"1","1","1","1","1","2","1","1","1","1","2","11","11","11","11","12","21","11","11","11","12"
"4029",4039,1,2,3,1984,2,2,-4,-4,168,14,1,1,1,178,14,1,190,15,6,6,201,16,6,216,18,7,1,1,1,1,1,224,18,237,19,7,249,20,7,262,21,13,7,1,1,1,1,1,274,22,7,283,23,6,297,24,2,7,1,1,1,1,1,313,26,6,326,27,7,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"4030",4040,1,2,4,1982,3,11,11,11,179,14,1,4,0,199,16,0,212,17,0,1,224,18,1,237,19,2,0,0,0,0,0,248,20,259,21,1,271,22,1,283,23,2,1,0,0,0,0,0,295,24,1,307,25,2,319,26,25,1,0,0,0,0,0,335,27,2,344,28,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4031",4041,1,1,9,1983,3,11,11,11,162,13,1,4,1,182,15,0,195,16,0,1,206,17,1,220,18,1,0,0,0,0,0,231,19,242,20,1,254,21,1,266,22,12,1,0,0,0,0,0,277,23,1,290,24,1,301,25,26,1,0,0,0,0,0,313,26,1,325,27,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4032",4042,-4,2,8,1980,8,8,2,8,198,16,1,4,-4,221,18,-4,234,19,-4,3,244,20,1,258,21,2,1,0,1,1,1,267,22,278,23,2,291,24,5,304,25,8,4,1,0,1,1,1,315,26,3,327,27,3,338,28,8,3,0,0,1,1,1,350,29,2,366,30,2,"2","1","1","1","2","2","2","2","2","1","1","21","11","11","12","22","22","22","22","21","11"
"4036",4046,-4,2,4,1981,2,11,2,2,192,16,1,1,-4,212,17,-4,223,18,-4,4,235,19,6,249,20,6,1,0,1,1,1,261,21,271,22,6,283,23,7,295,24,7,4,0,NA,NA,1,NA,308,25,5,319,26,2,331,27,2,4,0,1,1,1,1,342,28,6,354,29,6,"2","3","3","3","3","2","2","1","2","3","3","23","33","33","33","32","22","21","12","23","33"
"4037",4047,7,2,11,1984,2,11,2,2,149,12,1,1,2,169,14,2,180,14,5,7,192,16,6,206,17,6,1,0,1,1,1,218,18,228,18,1,241,20,5,255,21,2,3,0,0,1,1,0,264,22,6,275,22,5,287,23,2,6,1,NA,1,1,0,298,24,6,312,25,6,"3","3","3","1","2","2","3","2","3","3","3","33","33","31","12","22","23","32","23","33","33"
"4039",4049,-4,2,1,1981,12,2,2,2,198,16,1,4,-4,216,18,-4,227,18,-4,6,239,19,6,251,20,6,1,1,1,1,1,263,21,274,22,7,289,24,6,299,24,2,7,1,1,1,1,1,311,25,6,321,26,7,334,27,2,6,1,1,1,1,1,345,28,2,359,29,6,"3","3","3","3","3","3","3","3","3","1","3","33","33","33","33","33","33","33","33","31","13"
"4040",4050,-4,1,10,1980,3,3,13,12,199,16,1,4,-4,218,18,-4,231,19,-4,1,242,20,1,254,21,1,0,0,0,0,0,266,22,277,23,1,289,24,1,304,25,27,1,0,0,0,0,0,313,26,1,325,27,1,336,28,27,1,0,0,0,0,0,348,29,1,360,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4041",4051,-4,1,10,1981,3,3,13,12,187,15,1,4,-4,207,17,-4,220,18,-4,4,231,19,3,244,20,3,1,0,1,1,0,253,21,266,22,3,278,23,3,290,24,27,3,1,0,0,1,1,301,25,3,313,26,3,324,26,12,3,0,0,0,1,1,336,27,3,349,29,3,"2","2","2","2","2","2","2","2","2","2","2","22","22","22","22","22","22","22","22","22","22"
"4043",4053,-4,2,11,1980,4,8,1,1,199,16,1,4,-4,216,17,-4,229,19,-4,6,240,20,3,253,21,2,1,0,1,1,1,265,22,277,23,1,289,24,1,302,25,12,1,0,0,1,1,0,312,26,1,324,27,1,335,27,27,1,0,0,0,1,0,348,28,1,360,30,1,"3","2","1","1","1","1","1","1","1","1","1","32","21","11","11","11","11","11","11","11","11"
"4044",4054,-4,1,2,1981,4,8,1,8,194,16,1,2,-4,215,17,-4,228,18,-4,2,237,19,3,250,20,2,0,0,1,0,0,264,21,273,22,3,285,23,2,299,24,1,2,1,NA,NA,NA,NA,308,25,2,321,26,1,335,27,13,2,NA,NA,1,1,0,346,28,2,358,29,2,"1","2","1","2","1","1","1","1","1","1","1","12","21","12","21","11","11","11","11","11","11"
"4045",4055,3,2,4,1982,4,8,1,8,180,15,1,2,1,201,16,1,211,17,-4,6,223,18,3,236,19,2,1,1,1,1,0,247,20,259,21,3,272,22,2,285,23,1,2,1,NA,1,1,0,294,24,2,307,25,1,319,26,1,2,1,NA,1,1,0,330,27,3,343,28,1,"3","2","1","2","1","1","1","1","1","2","1","32","21","12","21","11","11","11","11","12","21"
"4048",4058,7,2,10,1982,27,2,3,2,172,14,1,2,4,195,16,4,207,17,7,7,218,18,7,231,19,6,1,0,1,1,1,241,20,253,21,6,265,22,6,277,23,2,5,1,1,1,1,1,288,24,2,301,25,3,313,26,2,6,1,0,1,1,1,324,26,3,338,28,2,"3","3","3","3","3","2","1","2","3","2","1","33","33","33","33","32","21","12","23","32","21"
"4049",4059,4,1,6,1984,2,2,2,2,155,12,1,4,2,173,14,2,185,15,4,6,197,16,3,211,17,1,1,0,1,0,0,222,18,234,19,2,246,20,2,257,21,2,2,1,0,1,0,1,269,22,1,281,23,3,293,24,2,1,1,1,1,1,0,303,25,1,320,26,1,"3","2","1","1","1","1","1","2","1","1","1","32","21","11","11","11","11","12","21","11","11"
"4050",4060,1,2,10,1983,2,12,-4,-4,164,13,1,4,1,183,15,1,195,16,2,6,205,17,1,219,18,1,1,1,1,1,1,229,19,240,20,2,254,21,1,266,22,27,2,1,0,1,1,1,277,23,1,289,24,2,300,24,1,3,1,0,1,1,0,311,25,2,324,26,2,"3","1","1","1","1","1","1","1","2","1","1","31","11","11","11","11","11","11","12","21","11"
"4051",4061,-4,2,9,1981,10,2,3,2,188,15,1,4,-4,206,17,-4,220,18,-4,1,231,19,2,244,20,2,1,0,1,1,0,254,21,266,22,2,278,23,2,297,24,2,1,1,0,0,1,0,303,25,2,316,26,1,326,27,27,1,1,0,1,1,1,338,28,2,352,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4052",4062,-4,2,12,1980,2,2,3,3,195,16,1,4,-4,215,17,-4,227,18,-4,5,240,20,3,255,21,3,1,0,1,1,1,263,21,276,23,1,287,23,6,300,25,8,1,1,0,1,1,0,311,25,1,322,26,2,334,27,2,1,1,0,1,1,1,346,28,1,361,30,1,"2","2","2","1","3","1","1","1","1","1","1","22","22","21","13","31","11","11","11","11","11"
"4053",4063,-4,1,12,1981,-4,-4,-4,-4,185,15,1,1,-4,203,16,-4,217,18,-4,2,228,18,3,243,20,1,0,0,0,0,0,251,20,264,21,1,278,23,1,288,23,2,2,0,0,0,0,0,299,24,1,312,25,1,324,26,2,1,0,0,1,1,0,335,27,1,348,28,1,"1","2","1","1","1","1","1","1","1","1","1","12","21","11","11","11","11","11","11","11","11"
"4054",4064,-4,1,11,1981,8,12,-4,-4,186,15,1,4,-4,205,17,-4,218,18,-4,6,229,19,5,241,20,5,1,1,1,1,1,253,21,265,22,3,276,23,3,289,24,12,5,1,0,1,1,0,301,25,7,312,26,7,325,27,13,7,1,1,1,1,0,335,27,6,349,29,6,"3","2","2","2","2","2","3","3","3","3","3","32","22","22","22","22","23","33","33","33","33"
"4055",4065,-4,1,8,1980,-4,-4,-4,-4,202,16,1,4,-4,220,18,-4,232,19,-4,2,243,20,1,258,21,1,0,0,0,1,0,267,22,279,23,1,292,24,1,304,25,27,1,0,0,0,0,0,316,26,1,326,27,1,339,28,27,1,0,0,0,0,0,351,29,1,363,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4056",4066,0,1,3,1982,11,27,1,27,183,15,1,4,0,202,16,1,213,17,-4,1,224,18,1,239,19,1,1,0,0,1,0,248,20,260,21,1,273,22,1,285,23,12,1,0,NA,0,1,0,296,24,1,307,25,1,320,26,27,1,0,NA,1,1,0,331,27,1,344,28,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4057",4067,0,2,1,1984,11,27,1,27,161,13,1,4,0,179,14,0,191,15,0,1,202,16,1,217,18,1,0,0,0,0,0,226,18,238,19,1,251,20,1,263,21,27,1,0,0,0,1,0,275,22,1,285,23,1,298,24,27,1,1,0,0,0,0,309,25,1,322,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4061",4071,2,2,4,1984,1,2,13,13,156,12,1,4,1,175,14,0,187,15,0,2,200,16,2,212,17,4,0,0,1,1,0,224,18,235,19,2,249,20,2,259,21,27,2,1,0,0,1,0,271,22,1,282,23,1,295,24,27,1,0,0,1,NA,0,307,25,1,319,26,1,"1","1","2","1","1","1","1","1","1","1","1","11","12","21","11","11","11","11","11","11","11"
"4062",4072,-4,1,5,1981,14,14,7,7,190,15,1,4,-4,213,17,-4,223,18,-4,1,236,19,1,246,20,1,0,0,0,0,0,258,21,271,22,1,282,23,1,296,24,7,5,1,1,0,1,1,306,25,4,318,26,5,329,27,8,3,1,1,1,1,0,341,28,3,355,29,5,"1","1","1","1","1","2","2","2","2","2","2","11","11","11","11","12","22","22","22","22","22"
"4063",4073,6,1,3,1984,4,4,7,4,156,12,1,4,1,176,14,1,192,15,1,6,201,16,5,212,17,3,1,0,1,1,1,224,18,236,19,4,249,20,3,261,21,4,2,1,0,1,1,1,272,22,3,287,23,2,295,24,9,6,1,1,1,1,1,307,25,6,319,26,5,"3","2","2","2","2","1","2","1","3","3","2","32","22","22","22","21","12","21","13","33","32"
"4066",4076,7,2,4,1984,1,2,1,27,159,13,1,4,0,175,14,0,186,15,0,1,199,16,1,212,17,1,0,0,0,0,0,225,18,235,19,1,248,20,1,260,21,27,1,0,0,NA,NA,0,274,22,1,287,23,1,295,24,27,1,0,NA,NA,1,0,307,25,1,322,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4067",4077,1,1,9,1983,18,18,1,1,164,13,1,4,0,182,15,0,194,16,0,2,206,17,1,218,18,1,1,1,0,0,0,231,19,242,20,1,255,21,1,269,22,12,2,0,0,1,1,0,278,23,2,289,24,1,303,25,1,1,0,1,1,NA,0,313,26,1,327,27,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4068",4078,-4,2,6,1980,10,10,-4,-4,202,16,1,4,-4,222,18,-4,233,19,-4,1,245,20,2,258,21,1,0,0,1,1,0,269,22,281,23,1,294,24,1,305,25,10,1,0,1,1,1,0,317,26,1,328,27,1,340,28,12,1,0,NA,1,1,0,353,29,1,365,30,7,"1","1","1","1","1","1","1","1","1","1","3","11","11","11","11","11","11","11","11","11","13"
"4069",4079,0,1,11,1983,10,10,-4,-4,161,13,1,4,0,180,15,0,192,16,1,2,204,17,1,221,18,2,0,0,0,0,0,229,19,240,20,2,253,21,1,264,22,10,2,1,0,1,1,0,276,23,1,287,23,2,301,25,27,1,0,0,1,1,0,313,26,1,327,27,2,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4070",4080,-4,1,3,1980,2,2,2,2,206,17,1,2,-4,225,18,-4,237,19,-4,2,252,21,2,261,21,3,1,1,0,1,0,273,22,289,24,2,297,24,6,310,25,2,6,1,1,1,1,0,319,26,3,331,27,5,344,28,2,3,1,1,1,1,0,355,29,3,369,30,3,"1","1","2","1","3","3","2","2","2","2","2","11","12","21","13","33","32","22","22","22","22"
"4071",4081,1,2,8,1982,3,3,3,3,174,14,1,4,2,195,16,1,207,17,1,2,220,18,4,232,19,2,1,0,1,1,1,244,20,255,21,3,268,22,2,280,23,3,2,0,0,1,1,0,293,24,2,303,25,2,314,26,3,2,1,0,1,1,1,325,27,2,338,28,1,"1","2","1","2","1","1","1","1","1","1","1","12","21","12","21","11","11","11","11","11","11"
"4072",4082,-4,2,1,1980,-4,-4,-4,-4,206,17,1,1,-4,230,19,-4,242,20,-4,6,252,21,7,265,22,5,0,1,1,1,0,274,22,288,23,2,299,24,2,314,26,11,3,0,0,1,1,0,322,26,2,335,27,2,347,28,1,5,1,0,0,1,0,357,29,5,371,30,5,"3","3","2","1","1","2","1","1","2","2","2","33","32","21","11","12","21","11","12","22","22"
"4074",4084,0,1,1,1984,1,13,-4,-4,159,13,1,2,0,179,14,2,190,15,2,2,204,16,2,218,18,2,1,0,1,1,0,226,18,239,19,1,250,20,2,267,22,12,1,NA,1,1,1,0,274,22,1,285,23,2,297,24,27,1,0,0,0,0,0,310,25,1,321,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"4080",4090,7,2,9,1983,7,7,7,7,164,13,1,1,3,181,15,3,194,16,3,2,207,17,6,220,18,6,1,1,1,1,1,231,19,242,20,3,254,21,7,266,22,13,6,1,1,1,1,1,279,23,7,290,24,6,302,25,-2,6,1,NA,1,1,1,313,26,7,325,27,7,"1","3","3","2","3","3","3","3","3","3","3","13","33","32","23","33","33","33","33","33","33"
"4081",4091,1,2,10,1983,7,7,-4,-4,163,13,1,1,1,181,15,1,192,16,1,6,205,17,4,217,18,3,1,1,1,0,1,229,19,241,20,2,254,21,4,266,22,2,5,1,1,1,1,1,277,23,2,292,24,2,302,25,27,2,1,1,1,1,1,313,26,2,325,27,1,"3","2","2","1","2","2","1","1","1","1","1","32","22","21","12","22","21","11","11","11","11"
"4082",4092,7,2,10,1984,2,2,-4,-4,149,12,1,1,2,169,14,3,181,15,4,6,194,16,6,206,17,6,1,1,1,1,1,217,18,229,19,6,241,20,6,254,21,2,6,1,1,1,1,1,265,22,6,276,22,6,288,23,2,6,1,1,1,1,1,300,24,7,313,26,7,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"4084",4094,3,2,7,1982,2,2,-4,-4,176,14,1,4,0,197,16,0,208,17,0,2,224,18,1,237,19,3,1,1,1,0,1,246,20,257,21,1,268,22,1,280,23,2,2,1,NA,1,1,1,291,24,1,303,25,2,315,26,2,2,1,0,1,1,1,327,27,2,341,28,3,"1","1","2","1","1","1","1","1","1","1","2","11","12","21","11","11","11","11","11","11","12"
"4087",4097,7,1,3,1982,3,3,3,3,179,14,1,4,7,201,16,7,212,17,2,6,226,18,7,239,19,7,1,1,1,1,1,248,20,261,21,6,272,22,6,285,23,2,6,1,1,1,1,1,297,24,6,307,25,6,321,26,2,6,0,0,1,1,1,331,27,6,344,28,6,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"4088",4098,-4,2,5,1981,2,2,2,2,191,15,1,4,-4,214,17,-4,223,18,-4,2,235,19,7,247,20,2,1,0,1,1,0,260,21,270,22,6,282,23,5,296,24,2,2,1,0,1,1,0,308,25,2,317,26,2,330,27,2,2,1,0,1,1,0,342,28,2,354,29,2,"1","3","1","3","2","1","1","1","1","1","1","13","31","13","32","21","11","11","11","11","11"
"4089",4099,-4,2,1,1980,3,3,3,3,208,17,1,4,-4,229,19,-4,239,19,-4,5,251,20,4,263,21,5,1,1,1,1,1,274,22,286,23,5,299,24,5,312,25,3,5,0,1,1,1,1,323,26,6,333,27,6,347,28,3,6,0,0,1,1,1,358,29,5,370,30,5,"2","2","2","2","2","2","3","3","3","2","2","22","22","22","22","22","23","33","33","32","22"
"4090",4100,3,1,4,1983,3,3,3,3,169,14,1,4,7,188,15,7,199,16,7,6,212,17,6,224,18,5,1,1,1,1,1,235,19,249,20,4,262,21,4,273,22,3,2,1,1,1,1,1,284,23,5,295,24,6,306,25,3,5,1,1,1,1,1,319,26,4,331,27,6,"3","3","2","2","2","1","2","3","2","2","3","33","32","22","22","21","12","23","32","22","23"
"4091",4101,2,1,3,1984,10,10,-4,-4,159,13,1,4,7,177,14,7,188,15,7,7,201,16,7,212,17,7,0,1,1,1,1,225,18,238,19,6,250,20,6,261,21,2,5,0,NA,1,1,1,272,22,5,284,23,5,295,24,2,5,NA,0,1,1,1,306,25,6,320,26,6,"3","3","3","3","3","2","2","2","2","3","3","33","33","33","33","32","22","22","22","23","33"
