"id","time","attend","age2000","byear"
7311,2007,6,19.5833333333333,1981
7311,2008,3,19.5833333333333,1981
7311,2009,4,19.5833333333333,1981
7311,2010,3,19.5833333333333,1981
7312,2000,2,16.5,1984
7312,2001,2,16.5,1984
7312,2002,2,16.5,1984
7312,2003,4,16.5,1984
7312,2004,3,16.5,1984
7312,2005,3,16.5,1984
7312,2006,5,16.5,1984
7312,2007,5,16.5,1984
7312,2008,6,16.5,1984
7312,2009,5,16.5,1984
7312,2010,4,16.5,1984
7313,2000,7,20.5,1980
7313,2001,6,20.5,1980
7313,2002,6,20.5,1980
7313,2003,4,20.5,1980
7313,2004,6,20.5,1980
7313,2005,6,20.5,1980
7313,2006,6,20.5,1980
7313,2007,6,20.5,1980
7313,2008,5,20.5,1980
7313,2009,4,20.5,1980
7313,2010,4,20.5,1980
7314,2000,2,16.1666666666667,1984
7314,2001,2,16.1666666666667,1984
7314,2002,3,16.1666666666667,1984
7314,2003,2,16.1666666666667,1984
7314,2004,3,16.1666666666667,1984
7314,2005,2,16.1666666666667,1984
7314,2006,2,16.1666666666667,1984
7314,2007,2,16.1666666666667,1984
7314,2008,2,16.1666666666667,1984
7314,2009,1,16.1666666666667,1984
7314,2010,3,16.1666666666667,1984
7315,2000,3,19.4166666666667,1981
7315,2001,2,19.4166666666667,1981
7315,2002,2,19.4166666666667,1981
7315,2003,5,19.4166666666667,1981
7315,2004,2,19.4166666666667,1981
7315,2005,6,19.4166666666667,1981
7315,2006,5,19.4166666666667,1981
7315,2007,5,19.4166666666667,1981
7315,2008,3,19.4166666666667,1981
7315,2009,1,19.4166666666667,1981
7315,2010,5,19.4166666666667,1981
7317,2000,2,16.8333333333333,1984
7317,2001,2,16.8333333333333,1984
7317,2002,1,16.8333333333333,1984
7317,2003,1,16.8333333333333,1984
7317,2004,2,16.8333333333333,1984
7317,2005,1,16.8333333333333,1984
7317,2006,1,16.8333333333333,1984
7317,2007,2,16.8333333333333,1984
7317,2008,2,16.8333333333333,1984
7317,2009,1,16.8333333333333,1984
7317,2010,2,16.8333333333333,1984
7318,2000,1,20.8333333333333,1980
